URL;Method;POST Params;JSON Params;XML Params;Attacked Parameters;Response Status Code;Response Time
"https://miaplicacionweb.azurewebsites.net/FacturaReservas/";"GET";"";"";"";"";"200";"1422,8"
"https://miaplicacionweb.azurewebsites.net/FacturaReservas/MisFacturasReserva";"GET";"";"";"";"";"200";"116,8"
"https://miaplicacionweb.azurewebsites.net/FacturaIntercambios/";"GET";"";"";"";"";"200";"1124,6"
"https://miaplicacionweb.azurewebsites.net/FacturaIntercambios/MisFacturasIntercambio";"GET";"";"";"";"";"200";"96,7"
"https://miaplicacionweb.azurewebsites.net/Manage/EnableTwoFactorAuthentication";"GET";"";"";"";"";"404";"85,3"
"https://miaplicacionweb.azurewebsites.net/Manage/EnableTwoFactorAuthentication";"POST";"__RequestVerificationToken";"";"";"__RequestVerificationToken";"302";"303,2"
"https://miaplicacionweb.azurewebsites.net/VerOferta/VerOferta?text=";"GET";"";"";"";"text";"200";"72,0"
"https://miaplicacionweb.azurewebsites.net/Home/Contact?text=&q607943927=3&email=netsparker%40example.com&message=";"GET";"";"";"";"text,q607943927,email,message";"0";"0,0"
"https://miaplicacionweb.azurewebsites.net/Home/Contact?q607943927=&email=&message=";"GET";"";"";"";"q607943927,email,message";"200";"61,3"
"https://miaplicacionweb.azurewebsites.net/Home/ContenedorIzq?text=";"GET";"";"";"";"text";"200";"59,7"
"https://miaplicacionweb.azurewebsites.net/Home/ContenedorCentro?text=";"GET";"";"";"";"text";"200";"75,5"
"https://miaplicacionweb.azurewebsites.net/Manage?text=";"GET";"";"";"";"text";"200";"117,2"
"https://miaplicacionweb.azurewebsites.net/Home/ContenedorDcha?text=";"GET";"";"";"";"text";"200";"64,5"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/AvisoLegal?text=";"GET";"";"";"";"text";"200";"71,3"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/PoliticaCookies?text=";"GET";"";"";"";"text";"200";"62,5"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/MetodosPago?text=";"GET";"";"";"";"text";"200";"56,6"
"https://miaplicacionweb.azurewebsites.net/bundles/jqueryval";"GET";"";"";"";"";"200";"91,8"
"https://miaplicacionweb.azurewebsites.net/bundles/jqueryval?v=uAfBJfRvihXVS4ogzhnXA6SiBDLYYjMN4O2KifwGop01";"GET";"";"";"";"v";"200";"57,6"
