URL;Method;POST Params;JSON Params;XML Params;Response Status Code;Response Time;Parsing Source
"https://miaplicacionweb.azurewebsites.net/UsuarioAux/VistaCrearUsuarioAux";"GET";"";"";"";"200";"10395,5";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Hijo/MisHijos";"GET";"";"";"";"200";"206,1";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Casa/MisCasas";"GET";"";"";"";"200";"97,7";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Intercambios/";"GET";"";"";"";"200";"11419,9";"RelatedLink"
"https://miaplicacionweb.azurewebsites.net/Intercambios/SolicitudesIntercambio";"GET";"";"";"";"200";"4176,8";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Reservas/";"GET";"";"";"";"200";"2082,0";"RelatedLink"
"https://miaplicacionweb.azurewebsites.net/Reservas/SolicitudesReserva";"GET";"";"";"";"200";"132,8";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Intercambios/SolicitudesUserIntercambio";"GET";"";"";"";"200";"102,5";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Reservas/SolicitudesUserReserva";"GET";"";"";"";"200";"92,8";"TextParser"
"https://miaplicacionweb.azurewebsites.net/tarjetas/";"GET";"";"";"";"200";"9731,7";"RelatedLink"
"https://miaplicacionweb.azurewebsites.net/tarjetas/MisTarjetas";"GET";"";"";"";"200";"1971,6";"TextParser"
"https://miaplicacionweb.azurewebsites.net/FacturaReservas/";"GET";"";"";"";"200";"1422,8";"RelatedLink"
"https://miaplicacionweb.azurewebsites.net/FacturaReservas/MisFacturasReserva";"GET";"";"";"";"200";"116,8";"TextParser"
"https://miaplicacionweb.azurewebsites.net/FacturaIntercambios/";"GET";"";"";"";"200";"1124,6";"RelatedLink"
"https://miaplicacionweb.azurewebsites.net/FacturaIntercambios/MisFacturasIntercambio";"GET";"";"";"";"200";"96,7";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Manage/EnableTwoFactorAuthentication";"GET";"";"";"";"404";"85,3";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Manage/EnableTwoFactorAuthentication";"POST";"__RequestVerificationToken";"";"";"302";"303,2";"TextParserForm"
"https://miaplicacionweb.azurewebsites.net/VerOferta/VerOferta?text=";"GET";"";"";"";"200";"72,0";"DomParser"
"https://miaplicacionweb.azurewebsites.net/VerOferta/VerOferta?text=3";"GET";"";"";"";"200";"59,4";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Home/Contact?text=";"GET";"";"";"";"200";"60,4";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Home/Contact?text=3";"GET";"";"";"";"200";"62,3";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Home/Contact?q607943927=&email=&message=";"GET";"";"";"";"200";"61,3";"DomParserExtractedResource"
